month,가공식품,간식,건강/기호식품,과자,냉동,냉장,디저트,맥주,면,미반,빵,신선,아이스크림,안주,양주와인,유음료,음료,전통주,조리빵,조미료/건물,즉석 식품,즉석음료
2025-01-01,0.9661606578115117,0.04007212983370066,0.7582129617793685,0.168452522955571,1.0,0.15642704172299093,0.18396512050381494,0.34599572438743625,0.3028261252865167,0.043713292580606494,0.07737382446392362,0.2121243794094591,0.07253390982949197,0.3826674169949353,0.29636439325608827,0.11038834274559019,0.09004944460423772,0.8903625954198473,0.09869488536155203,0.6446945337620579,0.3136645137283045,0.033296635772440984
2025-02-01,0.4883776091081594,0.0,0.38998253014615025,0.16954890843658477,0.2131367292225201,0.21608772915749025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03014469453376206,0.12356803019429605,0.0
2025-03-01,0.5070366856419988,0.3015427769985975,0.635412672035451,0.8907218378669212,0.6840929401251117,0.5998572274791537,0.7694481450082759,0.5555098759341482,0.3777234830356918,0.6775620280474649,0.7842921237087066,0.7107394826234649,0.2390494787126469,0.6481228394565479,0.16603066675917574,0.5724534616189082,0.3073801664589354,0.7426208651399491,0.4822222222222222,0.4702572347266881,0.7169284746033012,0.15663884479492038
2025-04-01,0.4074952561669829,0.7687838108595472,0.40532191401423157,1.0,0.5983020554066131,0.8683151323683531,1.0,0.6418717681667855,0.39352913024860836,0.7609852571017619,0.9646021938017915,0.8421740266527306,0.35986261724606855,0.8531232414181205,0.20634149725941858,0.7791082758139859,0.38900804901544517,0.675,0.6566137566137566,0.667604501607717,0.9822714828695213,0.31677249219110043
2025-05-01,0.2623339658444023,1.0,0.4941412075503856,0.763348239438407,0.7569258266309205,0.8057838059508802,0.8220903475838682,0.9101116409947194,0.34177980403516284,0.6261416756562388,1.0,0.8118630781290829,0.5130862303427595,1.0,0.2727398876014709,0.7435194868577006,0.5434934461930394,1.0,0.5105820105820106,0.7262861736334405,1.0,0.4490405294689948
2025-06-01,0.0,0.48687637747946305,0.18236823043163322,0.30852084401378604,0.4195710455764075,0.6688588830328529,0.6635178232610714,0.9790695974711762,0.17316944157577896,0.5759319189739902,0.28952116364100844,0.6477136137967076,0.7535095365947209,0.7913015515716697,0.5099562894609033,0.7508680192428362,0.6716394333273982,0.4618320610687023,0.6434920634920634,0.6856913183279743,0.5546075538899078,0.7157464539914998
2025-07-01,0.4361163820366856,0.4474053295932679,0.0,0.18082746648664288,0.8422698838248436,1.0,0.6357434096322312,0.9001534835279286,0.3549910581597441,0.9984657796955532,0.2921875748431288,0.9206689312777633,1.0,0.8844762440710668,0.7164365503365018,1.0,1.0,0.33931297709923663,1.0,1.0,0.0,1.0
2025-08-01,0.47928526249209363,0.54618312963334,0.05630832161574843,0.0,0.5111706881143878,0.842524947219733,0.5224254168180533,1.0,0.23132918566282965,0.826417355867194,0.3570276700036723,0.8452051215050954,0.8088706021827818,0.8942037141249296,1.0,0.9488670431569407,0.9457077244068245,0.3555343511450382,0.8288183421516755,0.3709807073954984,0.09645695452249954,0.9071413026780685
2025-09-01,0.00023719165085388995,0.46343418152674815,0.04024457795389663,0.33650405307317865,0.7350312779267203,0.8249213991707043,0.41552622017681967,0.7505892671161541,0.3538953678748646,1.0,0.490124698631668,1.0,0.4842323651452282,0.8368036015756893,0.3505168944702699,0.8962350972599874,0.6562088817666745,0.29685114503816795,0.8919929453262787,0.24236334405144694,0.5262472423783324,0.5492632751292948
2025-10-01,0.7243833017077799,0.6153075535964736,0.20789126081213516,0.37434457974427826,0.5741733690795353,0.5289114354713772,0.20778329498203543,0.7298050393758336,0.3892723105211456,0.4604578688721084,0.26399067554405964,0.8030310948523648,0.254123226053907,0.7169386606640406,0.38996045236938875,0.614062608938158,0.44662676400359763,0.7366094147582697,0.4985185185185185,0.0,0.728889243282035,0.2700631112704184
2025-11-01,0.6061827956989247,0.39030254458024444,0.4924155268652265,0.9838943003182563,0.0,0.0,0.1616002583666384,0.3929361033455755,0.5252386589758444,0.5040872587798154,0.3073717488144848,0.6322968382545074,0.09866801492381184,0.4554224616126698,0.2646915978630403,0.48632433939901,0.31326695064214066,0.42127862595419846,0.5047971781305115,0.1872990353697749,0.8012917630173032,0.12059309232423575
2025-12-01,1.0,0.30775395712282105,1.0,0.38535411728279134,0.5196604110813227,0.11716459849025654,0.5512898147026765,0.3557254837471907,1.0,0.439721922569819,0.23427695550126934,0.39602822053828063,0.051818403710031734,0.4912774338773213,0.5012141816415736,0.3371923586418462,0.18768039519159213,0.8417620865139949,0.5119929453262787,0.582395498392283,0.6212157456874784,0.06234958267192381
