category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
문구/완구,일반완구,132761,42,21104,159658.5,112166,12013,470,6576,1331,10.71,16.5728,3801.3929
빵,간식빵,78132,94,13867,101500.5,58453,13747,2325,2575,1023,23.518,27.9233,1079.7926
과자,스낵류,54547,185,10200,70937.5,39669,10307,2413,1639,518,25.9825,30.1142,383.4459
면,용기면,26848,122,6708,35817.5,18644,6014,1653,434,90,32.257,34.5849,293.5861
미반,도시락,26320,54,4452,34454.0,19335,5202,1247,428,100,26.9046,29.1182,638.037
양주와인,양주,12743,264,3403,15052.5,10898,1051,91,589,95,9.644,15.0486,57.017
양주와인,와인,10669,301,3120,12366.5,9098,794,92,549,125,8.7272,14.7615,41.0847
아이스크림,노벨티,7988,105,2118,10371.5,5470,1679,540,234,64,30.6947,34.9726,98.7762
음료,탄산음료,7214,88,1769,10292.0,4440,2086,573,94,21,46.982,49.0991,116.9545
디저트,젤리,7572,17,2296,9861.5,5772,1316,250,208,25,22.7997,26.4033,580.0882
조리빵,샌드위치,7295,40,1456,9009.0,5094,1433,604,128,36,28.1311,30.6439,225.225
과자,캔디류,6499,164,1756,8880.5,4185,1659,496,124,34,39.6416,42.6045,54.1494
,,6472,16,2932,8332.5,5417,927,13,83,23,17.1128,18.645,520.7812
미반,김밥,6451,39,1345,8220.0,4386,1327,501,197,40,30.2554,34.7469,210.7692
디저트,냉동디저트,6592,4,1882,8193.5,4951,1081,348,186,25,21.834,25.5908,2048.375
가공식품,가공미반류,6008,72,1530,8175.0,4123,1404,358,107,16,34.0529,36.6481,113.5417
과자,비스킷류,5804,156,1386,7795.0,3660,1473,522,129,20,40.2459,43.7705,49.9679
과자,초콜릿,5936,127,1763,7474.5,4188,1121,412,183,31,26.767,31.1366,58.8543
맥주,수입맥주,5637,133,1775,6643.0,4692,607,155,154,25,12.9369,16.2191,49.9474
미반,삼각김밥,4678,29,1094,6242.0,2839,1219,467,122,31,42.9377,47.2349,215.2414
아이스크림,고급,3938,60,1258,5778.5,2623,1055,159,83,17,40.2211,43.3854,96.3083
냉장,냉장간식,4205,87,1069,5561.5,2795,989,334,72,12,35.3846,37.9606,63.9253
유음료,가공우유,3203,57,855,4486.0,1980,891,262,55,15,45.0,47.7778,78.7018
기타,판촉물,2836,10,867,4474.5,1950,823,16,39,7,42.2051,44.2051,447.45
음료,기능성드링크,2982,60,790,4173.0,1944,789,204,37,8,40.5864,42.4897,69.55
조리빵,햄버거,3172,31,688,3966.0,2176,659,276,50,11,30.2849,32.5827,127.9355
즉석 식품,즉석치킨(삭제예정),2837,20,1080,3671.0,2138,513,115,60,11,23.9944,26.8007,183.55
디저트,냉장베이커리,2997,29,859,3609.0,2279,407,138,140,33,17.8587,24.0018,124.4483
미반,초밥류,2727,15,865,3384.0,2023,457,145,79,23,22.5902,26.4953,225.6
음료,커피음료,2269,54,516,3287.0,1416,657,154,32,10,46.3983,48.6582,60.8704
음료,차음료,2229,63,652,3153.5,1390,600,165,67,6,43.1655,47.9856,50.0556
맥주,국산맥주,2649,48,961,3038.0,2047,348,161,67,26,17.0005,20.2736,63.2917
유음료,컵커피,2175,37,620,2886.0,1506,483,135,39,12,32.0717,34.6614,78.0
음료,생수,1937,22,525,2882.0,1207,593,124,11,2,49.1301,50.0414,131.0
양주와인,하이볼,2176,26,729,2722.0,1585,360,110,94,23,22.7129,28.6435,104.6923
과자,젤리류,2002,107,652,2634.5,1349,449,143,47,13,33.2839,36.768,24.6215
신선,수축산/계란,1814,10,469,2345.0,1304,375,115,17,3,28.7577,30.0613,234.5
