Event Name,rows,online_item_code_rows,matched_product_rows,abnormal_user_rows,match_rate_pct
af_login,8287073,0,0,0,0.0
af_content_view_eachevent,6490638,0,0,171155,0.0
af_content_view_product,2857230,2857230,2854050,411658,99.8887
af_content_view_special,2697324,0,0,50984,0.0
af_search_inventory,2646992,0,0,1054497,0.0
af_content_view_inventory,2146290,0,0,873918,0.0
af_search,1127543,0,0,324381,0.0
af_content_view_pickup,552031,0,0,90652,0.0
af_add_to_cart,490693,490693,490143,1,99.8879
af_content_view_attendance,292276,0,0,2097,0.0
af_content_view_reservation,274568,0,0,46460,0.0
af_content_view_storage,264795,0,0,481,0.0
af_search_store,252986,0,0,59733,0.0
af_content_view_delivery,217422,0,0,44094,0.0
af_content_view_event,203456,0,0,8394,0.0
af_complete_registration,129871,0,0,0,0.0
af_content_view_store,128524,0,0,50813,0.0
af_purchase,118136,0,0,0,0.0
af_remove_from_cart,110415,110415,110265,2,99.8641
af_add_to_wishlist,108922,108922,108734,0,99.8274
af_content_view_subscription,99433,0,0,6090,0.0
af_content_view_coupon,65613,0,0,2248,0.0
af_delivery_purchase,62108,0,0,4901,0.0
af_content_view_exhibition,31802,0,0,4687,0.0
af_content_view_sevencon,25800,0,0,783,0.0
af_content_view_giftcard,25476,0,0,820,0.0
af_remove_from_wishlist,22864,22864,22393,0,97.94
af_share,2031,2031,2030,462,99.9508
