category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
빵,간식빵,199173,89,21272,248928.5,163648,25020,1889,6900,1699,15.2889,19.5053,2796.9494
과자,스낵류,96494,178,16170,115695.5,78244,9536,1831,5846,1024,12.1875,19.659,649.9747
미반,도시락,32500,46,5007,39795.0,23403,5992,2490,506,107,25.6036,27.7657,865.1087
,,26597,20,6817,34957.0,21858,4134,23,417,131,18.913,20.8208,1747.85
일용잡화,취미용품,28796,1,14152,33498.5,25842,2236,70,484,21,8.6526,10.5255,33498.5
면,용기면,22645,118,4942,31168.0,14878,5736,1572,369,86,38.5536,41.0337,264.1356
양주와인,와인,17337,284,4198,21123.0,14593,1750,100,754,132,11.9921,17.1589,74.3768
조리빵,샌드위치,11624,41,2415,14976.0,8143,2409,795,223,48,29.5837,32.3222,365.2683
디저트,젤리,11061,17,3161,14136.0,8690,1712,292,319,40,19.7008,23.3717,831.5294
디저트,냉동디저트,11211,4,3099,13895.5,8644,1697,468,341,56,19.6321,23.577,3473.875
과자,초콜릿,8624,127,2727,11077.0,6266,1604,452,249,49,25.5985,29.5723,87.2205
양주와인,양주,9276,240,3251,10149.0,8351,359,47,428,89,4.2989,9.424,42.2875
과자,캔디류,7258,175,1999,10081.5,4690,1889,523,134,21,40.2772,43.1343,57.6086
음료,탄산음료,6925,90,1963,9687.5,4256,1928,595,129,16,45.3008,48.3318,107.6389
미반,김밥,7488,40,1798,9491.5,5207,1473,549,224,34,28.2888,32.5907,237.2875
과자,비스킷류,6719,158,1677,9147.0,4348,1653,507,186,25,38.0175,42.2953,57.8924
아이스크림,노벨티,6734,106,1816,9056.0,4474,1541,459,225,33,34.4435,39.4725,85.434
가공식품,가공미반류,5736,73,1455,7470.0,3992,1235,398,93,16,30.9369,33.2665,102.3288
미반,삼각김밥,5378,28,1497,6962.0,3382,1328,543,88,37,39.2667,41.8687,248.6429
맥주,수입맥주,5647,136,1544,6960.5,4275,912,290,133,30,21.3333,24.4444,51.1801
기타,판촉물,4101,6,1260,6777.0,2684,1340,19,46,4,49.9255,51.6393,1129.5
미반,초밥류,5097,18,1483,6405.0,3707,911,306,146,23,24.5751,28.5136,355.8333
미반,푸드 간편식,4663,20,1473,5596.0,3791,601,168,89,10,15.8533,18.201,279.8
냉장,냉장간식,3889,89,995,5237.0,2554,928,283,102,22,36.3352,40.3289,58.8427
조리빵,햄버거,3920,30,1088,4870.0,2708,764,320,106,22,28.2127,32.127,162.3333
유음료,가공우유,3540,60,991,4868.0,2176,963,308,68,25,44.2555,47.3805,81.1333
유음료,컵커피,3353,40,922,4517.0,2314,752,202,78,7,32.4978,35.8686,112.925
양주와인,하이볼,3759,26,968,4497.5,2928,467,144,177,42,15.9495,21.9945,172.9808
디저트,냉장베이커리,3777,30,1206,4428.0,2945,470,192,145,25,15.9593,20.8829,147.6
맥주,국산맥주,3661,41,1402,4349.0,2694,420,173,314,60,15.5902,27.2457,106.0732
