category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
빵,간식빵,409096,95,35731,518595.5,325906,58810,6575,13528,4240,18.0451,22.196,5458.9
과자,스낵류,227278,194,29741,283854.0,176380,31697,6344,10517,2318,17.9709,23.9336,1463.1649
문구/완구,일반완구,133617,54,21428,160639.5,112918,12073,477,6607,1337,10.6918,16.543,2974.8056
미반,도시락,82731,61,11580,104831.0,60318,15695,5014,1374,314,26.0204,28.2984,1718.541
면,용기면,69949,123,13529,94214.5,47295,16496,4691,1185,259,34.879,37.3845,765.9715
,,40055,22,10718,52738.5,32886,6293,57,594,180,19.1358,20.942,2397.2045
양주와인,와인,39175,316,8353,46445.0,33197,3380,294,1891,391,10.1816,15.8779,146.9778
일용잡화,취미용품,32902,1,16221,37615.0,29812,2238,96,573,35,7.507,9.4291,37615.0
디저트,젤리,27936,17,6633,35878.5,21875,4424,731,782,109,20.224,23.7989,2110.5
양주와인,양주,29793,281,7406,33750.0,26249,1733,177,1360,252,6.6022,11.7833,120.1068
조리빵,샌드위치,25062,44,4558,31483.5,17590,4957,1890,509,109,28.1808,31.0745,715.5341
디저트,냉동디저트,25093,4,6440,30945.0,19241,3822,1155,753,116,19.8638,23.7774,7736.25
아이스크림,노벨티,22182,109,5610,29021.5,15175,4655,1455,743,151,30.6755,35.5717,266.2523
음료,탄산음료,20297,98,4702,28690.5,12563,5710,1622,340,61,45.4509,48.1573,292.7602
과자,캔디류,19481,196,4622,26815.0,12500,5027,1477,395,80,40.216,43.376,136.8112
과자,초콜릿,20930,136,5754,26544.5,15099,3835,1240,642,107,25.399,29.651,195.1801
미반,김밥,19533,45,3893,24688.5,13470,3873,1486,596,107,28.7528,33.1774,548.6333
과자,비스킷류,17960,169,3742,24387.0,11488,4500,1432,457,83,39.1713,43.1494,144.3018
가공식품,가공미반류,16906,79,3846,22564.0,11762,3769,1038,289,46,32.0439,34.5009,285.6203
맥주,수입맥주,16346,146,4406,19803.5,12851,2283,681,425,79,17.7652,21.0723,135.6404
미반,삼각김밥,14538,32,3242,18923.5,9039,3607,1454,317,118,39.9049,43.4119,591.3594
냉장,냉장간식,11604,98,2617,15428.5,7732,2693,859,264,53,34.8293,38.2437,157.4337
기타,판촉물,9354,10,2693,14926.5,6361,2794,50,121,15,43.9239,45.8261,1492.65
아이스크림,고급,10006,67,3116,14248.0,6805,2397,410,350,40,35.2241,40.3674,212.6567
미반,초밥류,10433,18,2984,12895.0,7698,1752,612,306,61,22.7592,26.7342,716.3889
유음료,가공우유,9286,63,2235,12855.0,5776,2528,778,159,45,43.7673,46.5201,204.0476
조리빵,햄버거,9868,33,2210,12260.0,6825,1956,820,218,49,28.6593,31.8535,371.5152
음료,기능성드링크,8590,63,2037,11990.0,5707,2200,535,122,26,38.5492,40.6869,190.3175
맥주,국산맥주,10023,53,3378,11917.0,7506,1321,514,543,129,17.5993,24.8335,224.8491
디저트,냉장베이커리,9726,32,2692,11496.0,7547,1211,450,428,90,16.0461,21.7172,359.25
