event_month,mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_month,cart_add_per_100_views,first_month
2025-05,125514,KBO)프로야구 콜렉션카드2025,문구/완구,일반완구,59336,13418,73838.5,48100,6721,3354,2025-05-22,13.973,2025-05
2025-05,125865,2025KBO오피셜컬렉션카드,문구/완구,일반완구,58975,12954,67961.5,52000,3621,2737,2025-05-21,6.9635,2025-05
2025-05,125500,김잼작가아이스쿨러백,일용잡화,취미용품,32902,16221,37615.0,29812,2238,573,2025-05-01,7.507,2025-05
2025-05,107326,KBO야구카드바인더북,문구/완구,일반완구,10493,4926,12894.5,8877,1159,321,2025-05-21,13.0562,2025-05
2025-05,125812,KBO)롯데자이언츠바다샌드크림빵96g,빵,간식빵,6863,2179,10012.5,4694,1564,410,2025-05-29,33.3191,2025-05
2025-05,105742,우진)샤또뽕떼까네19,양주와인,와인,5438,1179,7011.0,4306,792,223,2025-05-08,18.3929,2025-05
2025-05,125843,이스타)도쿠시마라면큰컵,면,용기면,4109,2493,4743.5,3619,356,59,2025-05-28,9.837,2025-05
2025-05,834917,5월 도시락 구독,,,3088,1385,4422.5,2378,659,38,2025-05-01,27.7124,2025-05
2025-05,125626,(3EA) SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품,음반,2773,1178,3754.0,2139,506,72,2025-05-01,23.6559,2025-05
2025-05,107512,KBO)야구카드바인더북,문구/완구,일반완구,2466,941,3211.5,1899,384,114,2025-05-23,20.2212,2025-05
2025-05,125569,케이준치킨너겟샐러드165g,미반,샐러드 ,2063,809,2745.5,1497,415,51,2025-05-09,27.7221,2025-05
2025-05,125326,"5월 삼각김밥,김밥 구독",,,2170,1427,2726.0,1852,268,40,2025-05-01,14.4708,2025-05
2025-05,125570,요거트구운단호박샐러드165g,미반,샐러드 ,1853,761,2466.5,1349,378,36,2025-05-09,28.0208,2025-05
2025-05,125580,PB)자이언츠월드콘160ml,아이스크림,노벨티,2117,1281,2406.5,1706,147,174,2025-05-15,8.6166,2025-05
2025-05,115587,MQ)프링글스양파맛53g,과자,스낵류,1616,540,2219.0,977,459,15,2025-05-08,46.9806,2025-05
2025-05,125248,PB)꽃모양얼음컵,즉석음료,얼음,1884,1592,1966.0,1795,41,31,2025-05-03,2.2841,2025-05
2025-05,125216,농심)메론킥60g,과자,스낵류,1340,534,1834.0,899,314,40,2025-05-14,34.9277,2025-05
2025-05,125725,tripleS(트리플에스)-[ASSEMBLE25](Objekt Music Album),미디어 상품,음반,1503,982,1750.0,1336,125,26,2025-05-13,9.3563,2025-05
2025-05,125838,러셀리저브싱글배럴,양주와인,양주,1314,490,1661.0,1077,173,43,2025-05-21,16.0631,2025-05
2025-05,835245,5월 세븐카페 구독,,,1179,635,1642.5,920,227,24,2025-05-01,24.6739,2025-05
2025-05,125375,"5월 샌드위치,햄버거 구독",,,1213,703,1609.0,982,198,22,2025-05-02,20.1629,2025-05
2025-05,125452,"3,900나시고랭볶음밥",미반,도시락,1178,441,1545.0,868,219,37,2025-05-09,25.2304,2025-05
2025-05,125717,KBO)롯데자이언츠랑그드샤(화이트초코)130g,디저트,시즌케익,1353,782,1529.0,1099,0,227,2025-05-23,0.0,2025-05
2025-05,125901,화요41도청사시즌에디션,전통주,소주,1166,489,1290.0,1089,53,21,2025-05-29,4.8669,2025-05
2025-05,190962,아방가르데,양주와인,와인,1064,656,1240.0,931,73,49,2025-05-01,7.841,2025-05
