category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
양주와인,양주,93239,217,10018,100807.5,85840,2982,99,3442,801,3.4739,7.4837,464.5507
미반,도시락,28369,45,6245,35747.5,21706,4485,1086,915,164,20.6625,24.8779,794.3889
디저트,냉동디저트,18292,3,5672,21882.0,15096,1957,443,712,72,12.9637,17.6802,7294.0
디저트,젤리,15888,17,5063,19377.0,13365,1719,172,549,75,12.862,16.9697,1139.8235
양주와인,와인,13868,264,3545,16291.5,11587,1152,157,789,176,9.9422,16.7515,61.7102
미반,김밥,10895,38,2965,14337.5,7646,2004,532,640,70,26.2098,34.5802,377.3026
미반,초밥류,10637,14,3577,13833.5,7973,1740,332,517,66,21.8237,28.308,988.1071
조리빵,샌드위치,10759,39,2770,13797.5,7677,1887,570,550,72,24.5799,31.7442,353.7821
빵,간식빵,8180,40,1482,12329.0,5252,1890,154,815,69,35.9863,51.5042,308.225
과자,스낵류,8089,132,2230,10822.0,5438,1837,541,227,42,33.7808,37.9551,81.9848
,,7980,10,3282,9152.5,7247,561,9,127,27,7.7411,9.4936,915.25
면,용기면,5858,85,1569,8128.5,3630,1556,470,167,34,42.865,47.4656,95.6294
미반,삼각김밥,6014,26,2001,7723.5,4115,1174,401,268,51,28.5298,35.0425,297.0577
과자,비스킷류,5878,112,1888,7605.0,4001,1212,415,210,38,30.2924,35.5411,67.9018
과자,초콜릿,5129,96,2190,6125.0,4049,660,218,169,27,16.3003,20.4742,63.8021
과자,캔디류,4418,149,1486,5337.0,3494,580,156,148,38,16.5999,20.8357,35.8188
조리빵,햄버거,3302,30,934,4200.0,2313,650,229,91,17,28.102,32.0363,140.0
미반,푸드 간편식,3168,21,1057,3810.0,2465,434,146,104,19,17.6065,21.8256,181.4286
맥주,수입맥주,3010,118,1161,3737.0,2483,383,47,79,10,15.4249,18.6065,31.6695
문구/완구,일반완구,2903,59,814,3456.5,2428,266,25,145,36,10.9555,16.9275,58.5847
기타,판촉물,2056,6,689,3264.5,1398,606,10,33,8,43.3476,45.7082,544.0833
음료,탄산음료,2581,74,981,3243.5,1662,576,262,65,15,34.657,38.568,43.8311
아이스크림,노벨티,2633,75,1239,3204.5,1993,374,133,118,14,18.7657,24.6864,42.7267
과자,젤리류,2056,78,619,2762.5,1509,407,74,54,5,26.9715,30.55,35.4167
패션잡화,시즌/소품,2173,39,665,2756.0,1797,282,10,66,12,15.6928,19.3656,70.6667
디저트,냉장베이커리,2046,18,852,2593.0,1482,331,95,117,21,22.3347,30.2294,144.0556
맥주,국산맥주,1642,38,716,2004.0,1289,234,66,44,9,18.1536,21.5671,52.7368
양주와인,하이볼,1600,20,570,1941.5,1228,211,63,80,17,17.1824,23.6971,97.075
즉석음료,세븐카페,1197,2,502,1867.0,836,336,5,16,4,40.1914,42.1053,933.5
전통주,소주,1447,36,556,1779.5,1164,183,31,55,13,15.7216,20.4467,49.4306
아이스크림,고급,1395,47,272,1764.5,1028,244,76,42,4,23.7354,27.821,37.5426
유음료,가공우유,1307,52,449,1744.0,862,295,97,49,4,34.2227,39.9072,33.5385
면,봉지면,1187,28,271,1637.5,705,339,118,19,5,48.0851,50.7801,58.4821
냉장,냉장간편식,1448,43,752,1598.0,1244,102,41,50,11,8.1994,12.2186,37.1628
즉석 식품,즉석치킨(삭제예정),1109,15,323,1447.0,796,214,59,36,4,26.8844,31.407,96.4667
전통주,기타전통주,1210,82,563,1418.5,1016,91,15,77,10,8.9567,16.5354,17.2988
유음료,흰우유,985,10,263,1415.0,611,275,71,26,2,45.0082,49.2635,141.5
가공식품,가공미반류,1139,60,548,1401.0,843,179,66,45,4,21.2337,26.5718,23.35
냉장,냉장간식,927,66,349,1214.0,623,196,61,37,10,31.4607,37.3997,18.3939
음료,기능성드링크,771,45,252,1034.0,487,186,59,29,10,38.193,44.1478,22.9778
유음료,컵커피,630,33,178,811.0,410,141,59,19,1,34.3902,39.0244,24.5758
음료,주스,528,46,215,680.0,360,104,34,24,6,28.8889,35.5556,14.7826
즉석 식품,즉석치킨,441,23,131,602.0,271,117,42,11,0,43.1734,47.2325,26.1739
음료,커피음료,399,40,163,556.0,256,101,29,13,0,39.4531,44.5312,13.9
음료,생수,394,21,160,548.0,261,90,22,20,1,34.4828,42.1456,26.0952
담배,전자담배,475,8,129,523.5,433,23,1,13,4,5.3118,8.3141,65.4375
유음료,요구르트,408,27,183,519.0,286,79,26,13,4,27.6224,32.1678,19.2222
가공식품,상온간편식,397,37,166,511.0,278,76,26,16,1,27.3381,33.0935,13.8108
음료,차음료,377,39,167,490.0,249,75,24,23,6,30.1205,39.3574,12.5641
과자,프로틴/시리얼,342,22,127,463.0,222,82,26,11,1,36.9369,41.8919,21.0455
서비스 상품,일반서비스,372,2,193,458.5,301,44,7,17,2,14.6179,20.2658,229.25
음료,스포츠음료,338,17,139,447.5,215,81,27,10,4,37.6744,42.3256,26.3235
유음료,두유,276,11,108,380.0,168,71,24,12,1,42.2619,49.4048,34.5455
신선,수축산/계란,271,9,84,357.0,179,60,20,10,2,33.5196,39.1061,39.6667
건강/기호식품,커피,261,18,66,353.0,176,58,13,10,4,32.9545,38.6364,19.6111
건강/기호식품,숙취해소제,284,13,135,353.0,206,51,20,7,0,24.7573,28.1553,27.1538
신선,과일,266,15,113,353.0,178,62,20,5,1,34.8315,37.6404,23.5333
빵,구움과자,210,9,91,310.0,132,58,12,8,0,43.9394,50.0,34.4444
신선,야채,242,25,82,284.0,156,40,21,18,7,25.641,37.1795,11.36
과자,껌,208,28,83,276.0,132,49,18,8,1,37.1212,43.1818,9.8571
유음료,기능성우유,200,7,73,272.0,135,40,9,14,2,29.6296,40.0,38.8571
유음료,냉장주스,194,19,88,259.0,127,43,14,9,1,33.8583,40.9449,13.6316
위생용품,티슈,206,18,117,248.0,161,27,9,8,1,16.7702,21.7391,13.7778
위생용품,생리대,200,38,81,231.0,149,25,12,11,3,16.7785,24.1611,6.0789
즉석음료,파우치,182,22,60,231.0,124,36,14,7,1,29.0323,34.6774,10.5
즉석음료,얼음,162,13,45,227.0,112,39,8,3,0,34.8214,37.5,17.4615
즉석 식품,즉석간식,185,7,84,224.0,145,26,8,5,1,17.931,21.3793,32.0
약품/의료품,의약외품,166,23,56,220.0,105,38,12,8,3,36.1905,43.8095,9.5652
유음료,프로틴 음료,178,17,57,216.0,116,36,20,6,0,31.0345,36.2069,12.7059
맥주,무알콜맥주,152,11,80,193.0,115,25,6,5,1,21.7391,26.087,17.5455
음료,전통음료,137,13,56,181.0,82,37,16,2,0,45.122,47.561,13.9231
전통주,막걸리,144,17,67,173.0,113,19,6,5,1,16.8142,21.2389,10.1765
아이스크림,홈타입,114,5,46,157.0,79,26,6,3,0,32.9114,36.7089,31.4
유음료,유제품,113,9,54,146.0,86,18,3,5,1,20.9302,26.7442,16.2222
조미료/건물,소스류,111,13,41,139.0,79,17,7,8,0,21.519,31.6456,10.6923
양주와인,리쿼,117,14,79,136.0,96,7,2,11,1,7.2917,18.75,9.7143
냉동,조리냉동,106,8,51,127.0,85,15,4,1,1,17.6471,18.8235,15.875
안주,오징어,89,20,42,122.0,62,18,4,5,0,29.0323,37.0968,6.1
냉장,냉장안주,96,21,49,116.0,76,9,3,8,0,11.8421,22.3684,5.5238
가공식품,캔,81,19,32,110.0,53,19,4,3,2,35.8491,41.5094,5.7895
미반,샐러드 ,99,7,52,108.0,84,3,2,9,1,3.5714,14.2857,15.4286
안주,너트류,83,19,29,108.0,63,11,1,7,1,17.4603,28.5714,5.6842
안주,스낵안주,89,12,64,103.0,74,8,3,4,0,10.8108,16.2162,8.5833
가정용품,세제류,92,14,38,102.0,76,9,4,2,1,11.8421,14.4737,7.2857
간식,냉장피자,69,9,31,93.0,49,10,2,8,0,20.4082,36.7347,10.3333
건강/기호식품,건강/이너뷰티,70,11,33,85.0,56,10,2,1,1,17.8571,19.6429,7.7273
