event_month,mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_month,cart_add_per_100_views,first_month
2025-04,192580,4월 와인 구독,,,19004,4336,24700.0,15679,2740,448,2025-04-01,17.4756,2025-04
2025-04,125382,NCTWISH기획세트,과자,젤리류,11042,2406,13576.0,9493,1126,362,2025-04-24,11.8614,2025-04
2025-04,109055,G)크라시에유자셔벗140ml,아이스크림,고급,7470,4341,8409.0,6676,463,219,2025-04-03,6.9353,2025-04
2025-04,125102,이장우)오일스타알리오올리오,면,용기면,5363,1926,6698.0,4213,770,184,2025-04-16,18.2768,2025-04
2025-04,125237,엔시티위시2집미니앨범,미디어 상품,음반,5001,1923,6576.5,4051,762,138,2025-04-15,18.8102,2025-04
2025-04,124932,버터치킨카레덮밥,미반,도시락,4525,1824,5927.0,3613,727,97,2025-04-09,20.1218,2025-04
2025-04,125051,사천식마파두부덮밥,미반,도시락,3320,1414,4609.0,2538,666,59,2025-04-16,26.2411,2025-04
2025-04,192580,무학)드보뀌베D 750ml,양주와인,와인,3966,1180,4608.5,3478,321,110,2025-04-02,9.2294,2025-04
2025-04,123397,앙리마티스)와인볼(화이트)500ml캔,양주와인,하이볼,3209,975,4106.5,2520,420,198,2025-04-03,16.6667,2025-04
2025-04,118860,발베니 12년 싱글배럴 700ml,양주와인,양주,3125,705,3384.5,2813,45,231,2025-04-08,1.5997,2025-04
2025-04,123396,앙리마티스)와인볼(레드)500ml캔,양주와인,하이볼,2475,846,3182.0,1965,317,153,2025-04-03,16.1323,2025-04
2025-04,125238,엔시티위시2집미니앨범(6EA),미디어 상품,음반,1943,1065,2210.0,1676,138,80,2025-04-15,8.2339,2025-04
2025-04,125504,SEVENTEEN 5th Album ‘HAPPY BURSTDAY’ (일반반),미디어 상품,음반,2081,1844,2160.0,2023,39,10,2025-04-29,1.9278,2025-04
2025-04,125012,프롬더배럴500ml,양주와인,양주,1464,682,1736.5,1288,134,29,2025-04-02,10.4037,2025-04
2025-04,125340,KBO)롯데자이언츠거인단팥빵100g,빵,간식빵,1407,623,1570.0,1190,0,199,2025-04-25,0.0,2025-04
2025-04,124859,조니워커블루뱀띠에디션1L,양주와인,양주,1270,735,1386.5,1193,59,11,2025-04-01,4.9455,2025-04
2025-04,210332,팔도)도시락,면,용기면,944,298,1315.0,561,273,15,2025-04-03,48.6631,2025-04
2025-04,124303,쉥크스 홈스테드 켄터키 사워매시 2024 700ml,양주와인,양주,1225,194,1293.5,1148,20,46,2025-04-10,1.7422,2025-04
2025-04,125084,PB)이봉원의봉짬뽕224g,냉장,냉장간편식,1082,457,1282.5,850,126,53,2025-04-17,14.8235,2025-04
2025-04,125131,모던 스퀘어 카네이션,서비스 상품,기타,939,504,1150.0,818,108,7,2025-04-10,13.2029,2025-04
2025-04,125343,ITTA MAGAZINE TEMPEST ver,미디어 상품,잡지,819,140,1114.5,635,152,17,2025-04-21,23.937,2025-04
2025-04,118889,시원)후와토로리치피스타치오40g,디저트,냉동디저트,862,429,1075.0,665,121,41,2025-04-03,18.1955,2025-04
