category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
미반,도시락,80371,49,13718,99533.0,62292,12831,3508,1302,378,20.5982,22.6883,2031.2857
면,용기면,39548,118,8107,52671.0,26501,9118,2814,913,198,34.4062,37.8514,446.3644
양주와인,와인,42299,281,8016,49019.5,36629,3068,336,1915,322,8.3759,13.604,174.4466
빵,간식빵,36253,98,6564,47577.0,24942,7030,1935,1940,402,28.1854,35.9634,485.4796
양주와인,양주,40915,273,8507,44670.0,36951,1525,171,1840,386,4.1271,9.1067,163.6264
,,34707,18,9557,44617.0,28953,4825,38,687,166,16.6649,19.0378,2478.7222
디저트,젤리,29880,22,8331,37316.0,24285,3986,614,890,97,16.4134,20.0782,1696.1818
과자,스낵류,23939,186,5227,31995.0,15319,5565,1891,1010,150,36.3274,42.9206,172.0161
조리빵,샌드위치,23908,41,4347,29252.5,17166,4256,1781,599,101,24.7932,28.2827,713.4756
디저트,냉동디저트,17879,4,4724,21713.0,13516,2705,971,577,104,20.0133,24.2823,5428.25
미반,삼각김밥,16792,27,3738,21681.5,10518,4083,1690,367,131,38.8192,42.3084,803.0185
미반,김밥,17386,40,3701,21620.5,12324,3191,1223,530,115,25.8926,30.1931,540.5125
과자,비스킷류,14707,162,3879,18923.0,9639,3162,1259,568,79,32.8042,38.697,116.8086
과자,젤리류,13990,132,3476,17370.0,11558,1686,184,486,48,14.5873,18.7922,131.5909
면,봉지면,13464,40,1900,16990.0,8550,3187,1462,202,63,37.2749,39.6374,424.75
음료,탄산음료,12024,96,3290,16370.0,7470,3143,1063,294,54,42.075,46.0107,170.5208
과자,초콜릿,12622,136,3884,15713.5,9261,2057,673,526,100,22.2114,27.8912,115.5404
디저트,냉장베이커리,13267,32,5571,15630.0,10834,1484,453,428,62,13.6976,17.6481,488.4375
양주와인,하이볼,10930,28,2721,13632.5,8514,1410,285,630,88,16.561,23.9605,486.875
미디어 상품,음반,9025,3,4017,10946.5,7750,939,27,228,60,12.1161,15.0581,3648.8333
아이스크림,노벨티,8345,107,2209,10832.0,5718,1636,542,399,50,28.6114,35.5894,101.2336
미반,초밥류,8562,19,3175,10346.0,6692,1225,375,207,61,18.3054,21.3987,544.5263
조리빵,햄버거,8397,32,2173,10193.5,6001,1502,666,191,32,25.0292,28.212,318.5469
아이스크림,고급,8634,65,4756,9670.0,7551,598,184,264,25,7.9195,11.4157,148.7692
유음료,가공우유,7098,63,2306,9337.5,4637,1640,592,200,28,35.3677,39.6808,148.2143
과자,캔디류,6923,187,1984,9105.5,4717,1457,460,255,33,30.8883,36.2943,48.6925
미반,푸드 간편식,7732,24,2479,9041.5,6389,850,263,198,31,13.3041,16.4032,376.7292
가공식품,가공미반류,6847,79,1887,8992.5,4716,1456,442,192,36,30.8736,34.9449,113.8291
기타,판촉물,6455,6,3370,8752.5,5205,1139,18,77,9,21.8828,23.3622,1458.75
냉장,냉장간식,5317,96,1530,6730.0,3544,1080,412,213,68,30.474,36.4842,70.1042
맥주,국산맥주,5137,44,2131,6062.0,4245,546,136,172,32,12.8622,16.914,137.7727
서비스 상품,일반서비스,4859,18,2122,6014.0,3934,605,62,192,60,15.3787,20.2593,334.1111
맥주,수입맥주,4878,136,1797,5762.5,4009,524,126,173,41,13.0706,17.3859,42.3713
즉석 식품,즉석치킨(삭제예정),3721,18,905,4941.5,2638,781,194,87,20,29.6058,32.9037,274.5278
음료,커피음료,3387,57,863,4857.0,2053,955,259,106,14,46.5173,51.6805,85.2105
유음료,흰우유,3080,10,767,4339.0,1869,867,255,71,18,46.3884,50.1873,433.9
유음료,요구르트,3217,40,1014,4109.0,2220,618,225,138,16,27.8378,34.0541,102.725
음료,차음료,3031,66,938,4054.0,1969,672,202,153,35,34.129,41.8994,61.4242
음료,기능성드링크,2930,60,994,4044.0,1894,750,215,62,9,39.5987,42.8722,67.4
유음료,컵커피,3005,39,747,3956.5,2084,662,203,48,7,31.7658,34.0691,101.4487
냉장,냉장간편식,3122,66,1162,3779.5,2319,438,143,170,51,18.8875,26.2182,57.2652
즉석음료,세븐카페,2274,2,1051,3149.5,1725,478,45,20,5,27.7101,28.8696,1574.75
음료,스포츠음료,2180,23,690,3081.0,1314,617,187,55,7,46.9559,51.1416,133.9565
전통주,소주,2489,39,1053,2957.5,2087,248,44,91,14,11.8831,16.2434,75.8333
음료,주스,2169,62,780,2872.0,1428,487,162,79,13,34.1036,39.6359,46.3226
서비스 상품,기타,2358,3,1172,2709.0,2148,180,11,16,1,8.3799,9.1248,903.0
패션잡화,시즌/소품,2209,54,742,2608.0,1861,198,31,100,17,10.6394,16.0129,48.2963
즉석 식품,즉석치킨,1644,26,486,2200.5,1046,398,131,53,15,38.0497,43.1166,84.6346
담배,전자담배,1893,18,537,2190.0,1662,159,8,41,23,9.5668,12.0337,121.6667
유음료,두유,1561,17,449,2107.0,1021,366,112,54,8,35.8472,41.1361,123.9412
유음료,프로틴 음료,1622,28,343,2062.0,1167,294,99,58,4,25.1928,30.1628,73.6429
음료,생수,1482,22,517,2051.0,939,386,115,37,5,41.1076,45.0479,93.2273
전통주,기타전통주,1812,125,832,2025.0,1522,112,26,114,36,7.3587,14.8489,16.2
즉석음료,얼음,1089,16,271,1650.0,649,343,70,23,4,52.8505,56.3945,103.125
문구/완구,일반완구,1356,52,503,1584.0,1127,68,9,138,14,6.0337,18.2786,30.4615
신선,수축산/계란,1242,11,337,1554.0,875,236,94,34,3,26.9714,30.8571,141.2727
과자,프로틴/시리얼,1180,28,364,1546.0,809,244,80,44,3,30.1607,35.5995,55.2143
가공식품,상온간편식,1265,53,594,1528.0,961,181,65,49,9,18.8345,23.9334,28.8302
빵,구움과자,1168,21,425,1503.5,756,255,104,46,6,33.7302,39.8148,71.5952
신선,과일,1164,31,383,1490.0,807,218,68,56,15,27.0136,33.9529,48.0645
유음료,냉장주스,1073,30,400,1433.0,708,247,76,34,8,34.887,39.6893,47.7667
신선,야채,993,41,331,1287.0,680,188,48,56,21,27.6471,35.8824,31.3902
위생용품,생리대,1020,61,350,1226.0,823,132,31,24,10,16.0389,18.955,20.0984
안주,생선류,898,19,325,1207.0,566,223,78,27,4,39.3993,44.1696,63.5263
위생용품,티슈,905,23,400,1189.0,648,177,48,30,2,27.3148,31.9444,51.6957
유음료,기능성우유,896,11,323,1157.0,605,177,62,45,7,29.2562,36.6942,105.1818
냉동,냉동만두,922,10,336,1152.0,676,164,49,22,11,24.2604,27.5148,115.2
미디어 상품,잡지,819,1,140,1114.5,635,152,5,17,7,23.937,26.6142,1114.5
즉석음료,파우치,739,47,203,1022.0,481,175,44,33,6,36.3825,43.2432,21.7447
과자,껌,761,35,211,1020.0,473,193,69,21,5,40.8034,45.2431,29.1429
건강/기호식품,숙취해소제,750,15,281,992.0,526,159,44,18,3,30.2281,33.6502,66.1333
음료,전통음료,633,20,252,897.0,398,167,43,22,3,41.9598,47.4874,44.85
냉동,냉동간편식,710,7,323,847.5,558,77,17,44,13,13.7993,21.6846,121.0714
안주,오징어,577,32,153,751.0,403,108,29,30,7,26.799,34.2432,23.4688
건강/기호식품,커피,597,22,171,747.0,416,110,43,24,4,26.4423,32.2115,33.9545
건강/기호식품,건강/이너뷰티,574,15,211,705.0,450,82,22,17,3,18.2222,22.0,47.0
냉동,조리냉동,573,18,209,700.0,411,97,39,21,5,23.601,28.7105,38.8889
간식,냉장피자,562,18,219,693.0,408,88,28,29,9,21.5686,28.6765,38.5
약품/의료품,의약외품,515,49,181,667.0,375,99,25,12,4,26.4,29.6,13.6122
안주,스낵안주,528,18,249,641.0,389,70,28,37,4,17.9949,27.5064,35.6111
가정용품,세제류,461,38,201,591.0,362,76,14,8,1,20.9945,23.2044,15.5526
즉석 식품,즉석간식,463,7,220,574.0,352,75,24,11,1,21.3068,24.4318,82.0
전통주,막걸리,464,20,171,517.0,394,40,17,11,2,10.1523,12.9442,25.85
맥주,무알콜맥주,435,13,191,499.0,334,53,24,18,6,15.8683,21.2575,38.3846
