mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_period,period_label,cart_add_per_100_views
192580,4월 와인 구독,,,14299,3298,19450.5,11375,2487,342,2025-04-01,2025-04 초순,21.8637
123101,G)오하요저지우유푸딩115g,디저트,젤리,12751,4118,15793.5,10464,1627,367,2025-04-01,2025-04 초순,15.5485
123923,신동엽)블랙서클위스키700ml,양주와인,양주,7395,2304,7554.5,6944,43,294,2025-04-01,2025-04 초순,0.6192
014387,맛장우전주식비빔밥,미반,도시락,3614,1505,4639.5,2685,677,58,2025-04-01,2025-04 초순,25.2142
124674,KBO)삼립기아타이거즈호랑이초코롤85g,빵,간식빵,3531,1258,4560.5,2573,658,104,2025-04-01,2025-04 초순,25.5733
124532,맛장우맛자랑 직화닭갈비,미반,도시락,3342,1064,4414.5,2583,615,39,2025-04-01,2025-04 초순,23.8095
124549,PB)바밤바꿀밤생크림빵120g,디저트,냉장베이커리,4015,2734,4186.0,3842,97,42,2025-04-01,2025-04 초순,2.5247
124534,맛장우맛자랑 부대볶음,미반,도시락,3118,1021,4156.5,2415,589,25,2025-04-01,2025-04 초순,24.3892
105770,시원)후와토로리치생초콜릿40g,디저트,냉동디저트,2966,1205,3695.5,2221,496,77,2025-04-01,2025-04 초순,22.3323
124530,최강록의간장들기름비빔밥,미반,도시락,2934,1613,3451.0,2406,358,47,2025-04-01,2025-04 초순,14.8795
192634,지비)앙리마티스앨런스콧쇼비뇽,양주와인,와인,2762,765,3318.0,2377,246,113,2025-04-01,2025-04 초순,10.3492
124677,KBO)삼립삼성라이온즈블루베리패스츄리100g,빵,간식빵,2520,929,3313.5,1717,520,106,2025-04-01,2025-04 초순,30.2854
109497, 미쓰이)홋카이도우유크림모찌56g,디저트,냉동디저트,2471,1031,2973.5,1908,337,93,2025-04-01,2025-04 초순,17.6625
124534,4월 도시락 구독,,,2004,994,2953.5,1513,463,26,2025-04-01,2025-04 초순,30.6015
105887,롯데)맛장우맛자랑 전주식비빔밥,미반,도시락,2340,852,2894.0,1773,383,52,2025-04-01,2025-04 초순,21.6018
124678,KBO)삼립KT위즈빅또리초코바닐라샌드60g,빵,간식빵,2050,757,2823.0,1398,457,83,2025-04-01,2025-04 초순,32.6896
124675,KBO)삼립LG트윈스쌍둥이딸기샌드99g,빵,간식빵,1958,745,2821.0,1269,504,75,2025-04-01,2025-04 초순,39.7163
109496, 미쓰이)생초콜릿모찌40g,디저트,냉동디저트,2225,1039,2762.0,1620,391,61,2025-04-01,2025-04 초순,24.1358
118860,발베니 12년 싱글배럴 700ml,양주와인,양주,2454,467,2649.5,2218,45,159,2025-04-08,2025-04 초순,2.0289
124676,KBO)삼립두산베어스곰발바닥꿀빵95g,빵,간식빵,1791,686,2441.0,1204,396,80,2025-04-01,2025-04 초순,32.8904
108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인,와인,1845,662,2322.0,1482,243,76,2025-04-01,2025-04 초순,16.3968
014287,롯데)NEW참치마요네즈삼각,미반,삼각김밥,1795,899,2307.0,1274,366,30,2025-04-01,2025-04 초순,28.7284
124684,KBO)삼립한화이글스핫투움바브레드90g,빵,간식빵,1667,647,2294.0,1095,382,81,2025-04-01,2025-04 초순,34.8858
124529,롯데)최강록의간장들기름비빔밥,미반,도시락,1877,787,2277.5,1517,252,37,2025-04-01,2025-04 초순,16.6117
192580,무학)드보뀌베D 750ml,양주와인,와인,1864,640,2264.5,1563,194,75,2025-04-02,2025-04 초순,12.412
123742,NEW갈비맛닭강정,미반,푸드 간편식,1836,865,2212.0,1512,238,24,2025-04-01,2025-04 초순,15.7407
124508,최강록의로스팜에그샌드,조리빵,샌드위치,1723,769,2096.5,1316,280,22,2025-04-01,2025-04 초순,21.2766
124531,현대)맛장우맛자랑 직화닭갈비,미반,도시락,1681,747,2039.0,1320,252,24,2025-04-01,2025-04 초순,19.0909
124679,KBO)삼립KBO홈런배트롤150g,디저트,냉장베이커리,1479,525,1990.5,1111,268,58,2025-04-01,2025-04 초순,24.1224
124390,필리치즈스테이크버거,조리빵,햄버거,1601,764,1894.0,1299,207,23,2025-04-01,2025-04 초순,15.9353
124683,KBO)삼립SSG랜더스소금버터우주선빵85g,빵,간식빵,1407,653,1894.0,954,295,71,2025-04-01,2025-04 초순,30.9224
220178,4월 장보기 구독,,,1764,1494,1849.0,1707,46,5,2025-04-01,2025-04 초순,2.6948
124533,롯데)맛장우맛자랑 부대볶음,미반,도시락,1487,647,1761.0,1159,216,22,2025-04-01,2025-04 초순,18.6368
052382,세븐카페)아메리카노(R),즉석음료,세븐카페,1178,573,1709.5,864,282,10,2025-04-01,2025-04 초순,32.6389
