category_l,category_m,total_events,unique_products,unique_users,weighted_interest_score,view_count,cart_add_count,cart_remove_count,wishlist_add_count,wishlist_remove_count,cart_add_per_100_views,intent_actions_per_100_views,score_per_product
미반,도시락,34018,46,6754,42219.0,26272,5486,1513,572,153,20.8815,23.0588,917.8043
,,22793,16,6512,30055.5,18662,3538,21,446,103,18.9583,21.3482,1878.4688
빵,간식빵,18835,91,3282,25512.5,12805,4042,947,855,183,31.5658,38.2429,280.3571
양주와인,와인,18744,273,4308,22173.0,15980,1592,153,854,147,9.9625,15.3066,81.2198
양주와인,양주,19299,254,4585,21370.0,17198,900,106,880,193,5.2332,10.35,84.1339
디저트,젤리,13018,21,4188,16110.5,10661,1664,260,381,47,15.6083,19.1821,767.1667
과자,스낵류,8940,171,2218,12153.0,5694,2196,697,307,46,38.5669,43.9586,71.0702
면,용기면,8992,112,2639,12035.0,5844,2124,711,281,32,36.345,41.1533,107.4554
조리빵,샌드위치,8599,39,2056,10438.0,6220,1479,647,226,25,23.7781,27.4116,267.641
디저트,냉동디저트,7878,4,2327,9704.0,5917,1254,416,242,45,21.1932,25.2831,2426.0
디저트,냉장베이커리,7611,31,3775,8910.0,6415,766,192,207,27,11.9408,15.1676,287.4194
미반,김밥,7020,38,1828,8700.0,5016,1248,488,231,35,24.8804,29.4856,228.9474
미반,삼각김밥,5678,27,1666,7323.0,3607,1341,533,140,55,37.1777,41.0591,271.2222
과자,비스킷류,5596,142,1754,7209.0,3677,1200,465,217,37,32.6353,38.5369,50.7676
과자,초콜릿,4900,122,1772,6146.5,3619,792,239,213,36,21.8845,27.7701,50.3811
음료,탄산음료,4436,82,1455,6033.0,2775,1148,385,109,19,41.3694,45.2973,73.5732
미반,푸드 간편식,4602,22,1562,5394.5,3828,518,151,89,15,13.5319,15.8568,245.2045
양주와인,하이볼,4193,28,1191,5278.0,3235,583,120,222,31,18.0216,24.8841,188.5
조리빵,햄버거,3934,30,1218,4722.0,2852,681,309,76,16,23.878,26.5428,157.4
미반,초밥류,3804,18,1503,4595.0,2939,568,190,82,23,19.3263,22.1164,255.2778
아이스크림,노벨티,3163,97,990,4145.0,2231,590,154,162,26,26.4455,33.7069,42.732
