mapped_pos_item_code,mapped_item_name,category_l,category_m,total_events,unique_users,weighted_interest_score,view_count,cart_add_count,wishlist_add_count,first_event_date_in_period,period_label,cart_add_per_100_views
191572,3월 와인 구독,,,26121,4291,34766.0,21218,4147,597,2025-03-01,2025-03 초순,19.5447
123923,신동엽)블랙서클위스키700ml,양주와인,양주,31589,5700,33207.5,29930,678,740,2025-03-01,2025-03 초순,2.2653
123101,G)오하요저지우유푸딩115g,디저트,젤리,15870,5577,18822.0,13850,1370,498,2025-03-01,2025-03 초순,9.8917
014287,롯데)NEW참치마요네즈삼각,미반,삼각김밥,11151,2911,17511.0,7497,3291,167,2025-03-01,2025-03 초순,43.8976
123618,렌틸콩유부초밥&에그샐러드,미반,초밥류,8843,3240,12133.5,6187,1701,597,2025-03-01,2025-03 초순,27.4931
109362,7찬도시락,미반,도시락,9558,2923,10790.5,8654,648,145,2025-03-01,2025-03 초순,7.4879
105748,지비)귀달베르토750ml,양주와인,와인,9111,2179,10609.5,7423,802,555,2025-03-01,2025-03 초순,10.8043
123504,닭가슴살스테이크도시락,미반,도시락,7940,3174,10348.0,5980,1237,458,2025-03-01,2025-03 초순,20.6856
123953,안유성명장 치킨난반정식,미반,도시락,6396,2305,7550.5,5577,622,100,2025-03-01,2025-03 초순,11.1529
124446,3월 도시락 구독(100원),,,4982,2001,7451.0,3655,1229,66,2025-03-01,2025-03 초순,33.6252
105887,롯데)맛장우전주식비빔밥,미반,도시락,4312,1566,6596.5,3014,1186,45,2025-03-01,2025-03 초순,39.3497
123619,홀그레인머스타드닭가슴살김밥,미반,김밥,4640,1754,6500.5,3115,901,435,2025-03-01,2025-03 초순,28.9246
124265,"3월 삼각김밥,김밥 구독(100원)",,,4153,1692,6451.5,2925,1147,52,2025-03-01,2025-03 초순,39.2137
124390,"3월 샌드위치,햄버거 구독(100원)",,,4028,1584,6282.0,2814,1133,46,2025-03-01,2025-03 초순,40.263
014387,맛장우전주식비빔밥,미반,도시락,4372,1555,6038.5,3194,925,107,2025-03-01,2025-03 초순,28.9606
124225,타케츠루 퓨어몰트,양주와인,양주,3991,1083,5264.0,3181,631,121,2025-03-04,2025-03 초순,19.8365
124390,필리치즈스테이크버거,조리빵,햄버거,3577,1358,4869.5,2622,771,39,2025-03-01,2025-03 초순,29.405
124136,듬뿍참치유부초밥,미반,초밥류,3418,1160,4846.5,2391,838,43,2025-03-01,2025-03 초순,35.0481
123655,닭가슴살잡곡샌드,조리빵,샌드위치,3142,1364,4376.5,2099,571,344,2025-03-01,2025-03 초순,27.2034
192628,3월 위스키 구독,,,3186,2069,3566.0,2915,196,45,2025-03-01,2025-03 초순,6.7238
116939,매콤투움바파스타,미반,푸드 간편식,2777,1114,3537.0,2204,451,34,2025-03-01,2025-03 초순,20.4628
108365,우진)지오도라퀸타20/21 750ml,양주와인,와인,2883,991,3281.5,2499,202,119,2025-03-01,2025-03 초순,8.0832
108563,비노)콜미레이터러시안잭쇼비뇽블랑750ml,양주와인,와인,2254,684,2960.0,1766,323,130,2025-03-01,2025-03 초순,18.2899
109496, 미쓰이)생초콜릿모찌40g,디저트,냉동디저트,2533,1522,2935.0,2150,211,108,2025-03-01,2025-03 초순,9.814
124510,우진)지오도BDM 18,양주와인,와인,2332,730,2727.0,1951,185,138,2025-03-01,2025-03 초순,9.4823
123503,롯데)더커진닭가슴살잡곡밥삼각,미반,삼각김밥,2217,883,2640.0,1798,145,227,2025-03-01,2025-03 초순,8.0645
123500,롯데)닭가슴살스테이크도시락,미반,도시락,2047,878,2501.0,1618,169,212,2025-03-01,2025-03 초순,10.445
124511,우진)르볼테21/22 750ml,양주와인,와인,2044,697,2450.0,1601,203,160,2025-03-01,2025-03 초순,12.6796
107879,3월 세븐카페 구독,,,1822,1092,2385.0,1511,276,27,2025-03-01,2025-03 초순,18.266
123601,롯데)렌틸콩유부초밥&에그샐러드,미반,초밥류,1912,885,2345.0,1527,141,213,2025-03-01,2025-03 초순,9.2338
124159,리얼소프트햄샌드,조리빵,샌드위치,1707,782,2194.0,1278,319,23,2025-03-01,2025-03 초순,24.9609
123926,매콤왕교자그라탕,미반,푸드 간편식,1706,767,2189.0,1346,288,17,2025-03-01,2025-03 초순,21.3967
124134,닭강정김밥,미반,김밥,1589,734,2083.0,1182,306,28,2025-03-01,2025-03 초순,25.8883
